timestamp,ev_user_id,device_id,role,location,geo_coordinates,charger_id,session_duration,power_usage,behavior_context,risk_score,access_granted
2025-05-30T18:40:31.470098,attacker_7447,spoofed_device,fleet,foreign,"53.01621,-1.71702",CHG-009,4.25,7.75,anomalous,0.9,False
2025-07-17T21:24:30.930966,evuser_010,42:be:1d:73:52:1c,admin,birmingham,"51.62428,-1.29078",CHG-032,30.79,11.87,normal,0.0,True
2025-07-08T09:34:31.364920,attacker_475,spoofed_device,admin,foreign,"51.59703,-0.10327",CHG-066,11.96,5.22,anomalous,0.9,False
2025-06-22T00:56:31.004114,evuser_098,4d:6a:3e:19:ed:df,fleet,birmingham,"53.48010,-1.77440",CHG-027,41.42,9.44,normal,0.0,True
2025-07-26T11:37:30.956878,evuser_007,97:65:b4:17:b3:20,user,birmingham,"53.13776,-2.01206",CHG-056,51.74,44.11,normal,0.2,True
2025-06-16T16:32:31.507797,attacker_9345,unknown_device,fleet,foreign,"53.15499,-1.18816",CHG-023,12.2,8.96,anomalous,0.9,False
2025-07-18T10:28:31.388575,attacker_2562,spoofed_device,admin,foreign,"52.11693,0.08798",CHG-033,10.73,8.48,anomalous,0.9,False
2025-07-04T09:00:31.076434,evuser_086,5b:7d:11:a0:96:59,fleet,london,"52.71794,-1.85412",CHG-041,72.98,10.35,normal,0.0,True
2025-07-16T12:22:31.381332,attacker_1957,unknown_device,fleet,foreign,"52.96022,-1.29252",CHG-049,19.59,7.87,anomalous,0.9,False
2025-05-25T12:50:31.436875,attacker_5925,spoofed_device,fleet,foreign,"52.99756,-1.86627",CHG-071,8.32,7.41,anomalous,0.9,False
2025-05-31T11:57:30.870359,evuser_037,d8:9b:da:04:f3:26,user,london,"51.47273,-0.78871",CHG-015,95.19,4.25,normal,0.0,True
2025-06-06T01:24:31.387546,attacker_2458,unknown_device,user,foreign,"51.67128,-1.25767",CHG-058,2.6,1.07,anomalous,0.9,False
2025-07-22T20:27:31.502919,attacker_9144,unknown_device,user,foreign,"53.13294,-0.35993",CHG-016,10.78,9.06,anomalous,0.9,False
2025-07-02T04:29:30.767503,evuser_023,64:ca:94:29:6a:f3,admin,london,"51.96152,-0.08566",CHG-068,70.29,16.44,normal,0.0,True
2025-07-24T16:06:31.374864,attacker_1454,unknown_device,admin,foreign,"52.22162,-1.23463",CHG-048,1.36,9.1,anomalous,0.9,False
2025-07-15T08:34:30.895201,evuser_025,65:29:4d:1a:b6:ee,fleet,birmingham,"52.42928,-1.49976",CHG-098,84.3,44.63,normal,0.0,True
2025-06-22T15:37:30.862018,evuser_077,4e:35:0e:9d:4c:48,user,london,"51.52978,-2.03562",CHG-056,8.49,43.9,normal,0.0,True
2025-06-15T01:18:30.777874,evuser_015,e5:d0:12:39:16:15,fleet,manchester,"52.65444,-1.57448",CHG-014,21.05,29.12,normal,0.0,True
2025-05-30T18:28:31.551966,attacker_11959,spoofed_device,user,foreign,"51.38132,-1.77288",CHG-057,7.75,6.98,anomalous,0.9,False
2025-07-28T11:28:31.362906,attacker_325,unknown_device,admin,foreign,"53.38443,-0.67833",CHG-042,18.48,0.93,anomalous,0.9,False
2025-06-29T04:13:31.396883,attacker_3303,unknown_device,user,foreign,"51.43157,-0.99466",CHG-031,4.89,1.62,anomalous,0.9,False
2025-06-20T03:19:31.418471,attacker_4855,unknown_device,fleet,foreign,"52.89782,-0.91152",CHG-067,8.23,2.48,anomalous,0.9,False
