session_id,user_id,charger_id,session_duration,power_usage,time_of_day,location,policy_type,role,behavior_context,risk_score,access_granted_ai,access_granted_noai,decision_latency_ai,decision_latency_noai,blockchain_delay,pet_time,ai_override,session_validity
0,12,6,107,21.98,afternoon,Birmingham,MAC,User,normal,0.017295005260346497,True,True,204.59387960937985,107.58732844138177,227.35251550287367,91.46860233681541,False,valid
1,15,1,56,5.78,morning,London,ABAC,User,normal,0.21463966038474316,True,True,170.3070139097025,106.92195536333281,216.00903743361545,103.87321714167386,False,valid
2,7,10,97,3.35,morning,London,ABAC,User,normal,0.280833337573144,True,True,149.03946346077083,132.9611120582552,219.01083811126801,42.1001492872235,False,valid
3,13,10,19,13.37,morning,Manchester,MAC,User,normal,0.2955353463092802,True,True,125.90027628874,147.20368984329073,181.978073463109,80.9725144273553,False,valid
4,10,9,111,11.36,afternoon,London,DAC,User,normal,0.29332094751170307,True,True,188.50086155077176,112.86563107035451,199.24464137667374,88.3412329127342,False,valid
5,19,5,76,12.1,off_hours,London,RBAC,User,anomalous,0.7744596536415235,False,False,186.112363095917,106.61701736424817,140.5423468835109,92.40531448765869,False,valid
6,9,8,65,15.07,off_hours,Manchester,RBAC,User,normal,0.320304770026403,True,True,191.42329642846846,116.74094842891344,190.15194665216592,86.44352081867524,False,valid
7,12,10,25,6.76,afternoon,London,DAC,User,normal,0.24435849203562973,True,True,170.2966703039771,138.74130609212008,213.78892129726628,66.26088807960716,False,valid
8,11,10,107,20.14,evening,London,MAC,User,normal,0.2375172336941131,True,True,163.38856823794853,129.52400292511953,197.65723049997885,93.8680135725452,False,valid
9,8,1,87,10.26,afternoon,London,MAC,Admin,normal,0.24702589964739338,True,False,132.4828143725964,105.73278522998925,294.22627399365314,106.87407569700821,True,valid
10,9,4,91,3.88,afternoon,London,ABAC,User,normal,0.11642895110400653,True,True,200.50833834654324,123.88021073385525,250.76560047494425,90.9718972418388,False,valid
11,4,2,79,16.64,evening,London,ABAC,User,anomalous,0.7328358179589531,False,False,139.72507360180362,101.66960204743091,238.74851939820448,86.89099328564991,False,valid
12,20,2,79,14.58,afternoon,Manchester,ABAC,User,normal,0.1681282638354012,True,True,168.02289750516306,134.67011035648852,192.73923963506664,51.05968530495331,False,valid
13,5,2,92,7.77,off_hours,London,ABAC,User,normal,0.39700388139342274,True,True,200.73293131831446,98.53013596954861,84.9080813189967,75.39196403489981,False,valid
14,7,2,104,14.13,evening,Birmingham,RBAC,Admin,normal,0.4229019390457212,True,True,161.15638912998975,115.75299077994947,189.3422617115456,75.89550417254162,False,valid
15,9,8,108,5.77,evening,London,MAC,User,normal,0.34163552207847464,True,True,154.68257109050165,110.62873935343306,191.24741067969939,81.25471217329608,False,valid
16,4,6,28,10.45,morning,Birmingham,DAC,User,normal,0.1347566377690905,True,True,201.89032196445226,130.32163041250476,148.43275011669868,65.85369433689962,False,valid
17,12,9,7,19.91,morning,Manchester,ABAC,User,normal,0.12933568941051066,True,True,181.2175422156153,165.7896001818126,203.92124611079933,83.52224079457972,False,valid
18,12,2,26,3.98,afternoon,London,RBAC,User,normal,0.25028605716042523,True,True,167.1720721987144,119.51330833670184,213.42279052350716,68.29794742261102,False,valid
19,6,1,57,9.24,evening,London,ABAC,User,normal,0.2344823015518055,True,True,185.24506490261226,123.64073101951382,271.791517928547,98.45640985309137,False,valid
20,13,8,6,18.28,off_hours,London,RBAC,Admin,normal,0.45378280248951736,True,True,177.40601018773503,125.48522764293557,165.0052646205956,78.40815478011595,False,valid
21,9,10,92,21.37,afternoon,Manchester,DAC,User,normal,0.21855163018326518,True,True,127.80476879395741,119.68417881905965,262.7298431186849,102.07620974805948,False,valid
22,9,3,112,10.64,evening,London,ABAC,User,normal,0.23251084456267745,True,True,153.639957698516,145.37807296952278,304.15094191329547,78.91526685231047,False,valid
23,3,3,34,11.75,afternoon,Manchester,RBAC,User,normal,0.27744041624683635,True,True,208.74043377801985,125.9975006112289,198.23667171630544,64.69493516059192,False,valid
24,13,8,42,13.1,afternoon,Manchester,ABAC,User,normal,0.31150827563733346,True,True,160.24824561577657,111.5198797801292,144.68520058323008,67.13614844503354,False,valid
25,6,5,6,20.59,evening,Manchester,MAC,Admin,normal,0.2077426497359916,True,True,164.57571144674162,140.8373427751175,174.3757956937241,76.19498727588743,False,valid
26,18,8,68,19.05,evening,Manchester,RBAC,Fleet,anomalous,1.0,False,True,189.5592031546007,153.6342925925843,191.89588288537237,83.19064562632164,True,valid
27,14,2,64,4.75,morning,London,RBAC,User,normal,0.37003604867381346,True,True,192.3739865596312,109.73368202644022,187.92604032261391,100.09607890847266,False,valid
28,2,10,25,10.28,afternoon,Birmingham,RBAC,User,normal,0.22882915006528365,True,True,205.1927601261336,99.60293359241709,192.59978347270976,112.22169424901105,False,valid
29,6,9,37,10.85,afternoon,Birmingham,MAC,User,normal,0.0,True,True,177.85801077664877,120.73874410834784,165.5121650507304,78.88255254019172,False,valid
30,20,2,80,17.61,morning,anomaly,RBAC,Admin,normal,0.1815019698260271,True,True,200.68993244999893,95.14518660710237,216.86285581744914,108.06018283495675,False,valid
31,7,9,62,13.74,off_hours,London,MAC,User,normal,0.32708237673898466,True,True,169.76431897948035,86.00954431685633,271.51440125040955,78.64728073438243,False,valid
32,8,10,26,14.81,afternoon,Birmingham,RBAC,User,normal,0.12980045847269744,True,True,206.17631643908828,90.8453846936282,145.0833022280451,77.4232888389752,False,valid
33,10,6,112,21.96,morning,Birmingham,RBAC,Admin,anomalous,0.738414692834229,False,False,221.90463074837663,103.71667551811983,193.78723944276584,86.78490091591419,False,valid
34,13,5,93,2.76,morning,Manchester,RBAC,Admin,normal,0.3993867428926484,True,True,140.04842080176422,82.94422601668781,209.17598181255033,68.32768502083086,False,valid
35,1,7,53,5.84,off_hours,Manchester,RBAC,User,normal,0.3353038607083591,True,True,238.886936453712,129.59225020526884,242.1340784280058,92.08020582281573,False,valid
36,5,7,95,9.68,evening,anomaly,DAC,Admin,normal,0.4024505775011311,True,True,226.48032867047098,144.40112861660205,261.77949007966913,71.97352673677675,False,valid
37,2,4,63,8.43,evening,anomaly,DAC,User,normal,0.29799432323217384,True,True,205.70383847277577,160.02267663438295,265.743875144747,56.00620818072507,False,valid
38,4,7,46,1.65,morning,Manchester,RBAC,User,normal,0.17344932598302673,True,True,179.0518762883511,89.83264226962855,159.91690946151877,76.898242235526,False,valid
39,12,3,96,3.11,off_hours,London,RBAC,Fleet,normal,0.6098669583464296,False,True,122.636756989974,144.12278205890868,176.96899794202915,73.56040206960026,True,valid
40,5,3,64,15.36,afternoon,Birmingham,DAC,User,normal,0.09532504636752014,True,True,190.7101158655584,145.61505173308151,196.87276154396525,57.65846118173744,False,valid
41,15,7,84,19.49,evening,London,RBAC,Admin,normal,0.3656814651420208,True,True,168.21440633365927,110.69654144829772,280.4908064287427,77.60446016665983,False,valid
42,10,1,19,11.9,off_hours,London,RBAC,Admin,normal,0.3871692892947218,True,True,225.63760377524906,94.05583472588539,257.7514045829819,83.13539745244864,False,valid
43,17,8,66,12.42,morning,anomaly,RBAC,Admin,normal,0.21617710799722212,True,False,229.86051088684957,112.57297085095827,175.65561240040574,90.27162027982773,True,valid
44,14,2,66,6.51,afternoon,Birmingham,MAC,Fleet,normal,0.46018389336961774,True,True,176.35491982988407,143.9420403899961,186.04439795688901,93.32916310874839,False,valid
45,7,1,51,17.17,morning,Birmingham,RBAC,User,anomalous,0.6629842421065975,False,False,202.4108574535674,115.28495971913544,167.60846648411274,72.30939875976203,False,valid
46,2,6,66,16.84,afternoon,Manchester,ABAC,User,normal,0.18425755688416046,True,True,106.52209579804307,105.8632124524166,199.43127840274363,100.91101263292373,False,valid
47,3,4,55,13.44,afternoon,Manchester,ABAC,User,normal,0.20089535088484348,True,True,145.77250040802818,133.17579689826297,208.36541145551683,67.01695884146378,False,valid
48,4,7,112,5.62,off_hours,anomaly,RBAC,Fleet,normal,0.5467457740770503,True,True,159.49517268995257,104.97584502309134,162.04486404647304,108.78969901926374,False,valid
49,16,3,59,3.22,afternoon,London,RBAC,User,normal,0.2554613711497564,True,True,159.78392788200844,113.04123891618121,257.905839873524,98.04407904027244,False,valid
50,16,2,120,2.54,evening,Birmingham,DAC,Admin,normal,0.26816802453414695,True,True,172.58354649630803,103.92467711231154,252.14078719583603,72.96957108159881,False,valid
51,3,4,68,13.53,off_hours,Manchester,MAC,Admin,anomalous,0.845812934739867,False,False,184.5696870679998,118.86346442586668,264.22544803012914,77.5542486631463,False,valid
52,17,4,7,18.36,off_hours,London,ABAC,User,normal,0.39552731577096834,True,True,174.14645832328603,120.48734885299065,189.83890470805343,67.36928147452042,False,valid
53,17,4,105,19.05,afternoon,London,RBAC,User,normal,0.1986575499313859,True,True,219.06333039576288,107.22498698461361,281.0440722894534,85.5872849227997,False,valid
54,20,3,55,10.84,afternoon,London,RBAC,User,normal,0.14909418850191852,True,True,187.56483913377267,124.21938144169175,216.5382716969719,65.61276263702428,False,valid
55,7,7,11,17.51,morning,Manchester,ABAC,User,normal,0.28290416792317624,True,True,188.45375158317944,117.69978776993644,255.96811468961045,72.16998750353541,False,valid
56,8,5,25,20.9,morning,London,RBAC,Admin,anomalous,0.7021914882902816,False,False,187.74419113654082,166.56396580973808,171.61213196333944,98.11851573842019,False,valid
57,19,4,77,6.92,evening,Manchester,DAC,User,normal,0.21951641149640352,True,True,172.00483770125606,128.38562731885065,189.2792141383638,83.5072379816459,False,valid
58,7,5,43,9.48,morning,Manchester,RBAC,Fleet,normal,0.20737056883416566,True,True,189.87782280057954,116.67822463777502,182.45606097540804,83.98173176541003,False,valid
59,1,7,22,20.57,afternoon,Birmingham,ABAC,User,normal,0.2204494839135735,True,True,201.8408084878966,120.099402878692,141.61078873284347,75.93908611181674,False,valid
60,16,4,8,8.24,morning,London,RBAC,User,normal,0.22814096098165984,True,True,152.28415084664746,121.18899105475992,172.04059282223335,72.4471387699356,False,valid
61,18,10,93,20.21,evening,Manchester,ABAC,User,normal,0.3604047628607936,True,True,135.79583987753782,124.7921268246233,181.49318477596495,67.2553146771305,False,valid
62,8,5,64,21.61,afternoon,London,ABAC,Admin,normal,0.18753184715790683,True,True,208.26312673619617,117.3607821623213,193.46468109294867,56.81028845331025,False,valid
63,7,6,18,14.97,morning,London,RBAC,User,normal,0.0006064191086399551,True,True,186.04745990134128,98.89310679272114,177.9498410328639,87.18986629762853,False,valid
64,10,6,118,18.19,afternoon,London,RBAC,Admin,normal,0.27522043207967,True,True,189.0645490922484,149.31486704659386,182.7006923925412,115.73738594873538,False,valid
65,2,7,13,16.79,afternoon,Manchester,ABAC,User,normal,0.11998549183116385,True,True,148.79882665739893,147.31286844514284,247.71456650814844,72.83351303144708,False,valid
66,15,10,94,15.75,evening,London,DAC,User,normal,0.2831850104865267,True,True,169.61641739023958,155.94971631764588,212.21516686894253,69.89680035121313,False,valid
67,14,3,57,7.58,afternoon,London,ABAC,User,normal,0.20612552917198101,True,True,178.72658473375878,129.6798760858321,138.98805336665225,88.17140679875494,False,valid
68,2,8,6,2.39,evening,London,RBAC,User,normal,0.24615030901393756,True,True,146.84888653336733,130.37176423835513,208.78077478741275,74.80799095284165,False,valid
69,7,5,88,8.34,morning,Birmingham,MAC,User,normal,0.25706432907258064,True,True,183.24752650905174,128.16273728895214,219.99195294249776,92.08171391754067,False,valid
70,12,1,96,15.07,morning,Birmingham,RBAC,User,normal,0.1210384632794166,True,True,193.86280271764957,86.5441972101537,197.35476238599122,95.7257108476144,False,valid
71,5,4,115,3.33,morning,London,RBAC,User,normal,0.23828834675037636,True,True,183.0742427527516,87.38412519989456,296.72000462203096,84.59187693513586,False,valid
72,6,4,64,1.45,afternoon,London,RBAC,User,normal,0.2274504812932297,True,True,194.3025592276147,145.537927267439,185.01316060461247,76.63210411729172,False,valid
73,16,8,75,4.11,evening,Birmingham,RBAC,User,normal,0.29232907243595757,True,True,219.9810204828442,111.05609148268897,182.65032398720484,54.97009152149474,False,valid
74,12,10,48,16.09,morning,London,RBAC,User,normal,0.22313350816559058,True,True,216.57987191987627,104.74847710642439,220.86053720780083,59.313650189575064,False,valid
75,9,9,12,21.43,evening,London,MAC,Admin,anomalous,0.833181889190901,False,False,154.9458400101359,113.89135345000238,154.47053943650764,99.76503719986137,False,valid
76,20,3,51,21.65,afternoon,London,RBAC,User,normal,0.16053871382851265,True,True,145.61604754624722,116.0647935178806,183.99059141953262,83.56441271789062,False,valid
77,12,10,39,11.47,off_hours,anomaly,RBAC,User,normal,0.41016493078348176,True,True,159.2035691405999,126.46468987899706,169.75130210366322,79.19810427836742,False,valid
78,10,1,82,19.28,evening,Birmingham,RBAC,Admin,normal,0.20848916526947417,True,True,180.70475011642904,108.51870399200551,212.68431960355588,82.78921966394829,False,valid
79,17,8,85,16.53,evening,London,ABAC,User,normal,0.4118254502205057,True,True,161.50158720919683,142.2081050874541,188.867978442749,88.27261628943972,False,valid
80,11,9,40,11.62,afternoon,London,RBAC,User,normal,0.18379722679738023,True,True,219.5223091498385,97.559926349159,245.85276807259987,68.94345253992657,False,valid
81,18,4,54,13.11,off_hours,anomaly,RBAC,User,normal,0.4012546003142697,True,True,165.20372520306557,174.48266860446864,176.626142477803,89.94759060061145,False,valid
82,4,5,108,4.05,off_hours,Manchester,RBAC,Admin,anomalous,0.9124128909978038,False,False,166.93591651235795,130.04286688566287,215.35063284165227,108.71441578022524,False,invalid
83,3,4,8,20.7,afternoon,Manchester,RBAC,User,normal,0.026479831051072544,True,True,204.840416853497,108.55890970661287,163.07162144999415,73.92227371481438,False,valid
84,19,4,6,8.52,afternoon,London,RBAC,User,normal,0.27663729569336626,True,True,179.56846187061458,109.92413499016374,165.0491273312125,80.76053751381302,False,valid
85,6,3,10,10.48,afternoon,Birmingham,RBAC,User,normal,0.2970447682642019,True,True,162.60344164608534,130.30240512213604,216.39845342110874,91.90409282619278,False,valid
86,8,10,58,15.17,afternoon,London,RBAC,User,normal,0.1630858855119388,True,True,165.40626469654637,119.58959026388918,191.30029100448402,70.73085856076084,False,valid
87,7,4,110,8.15,afternoon,Birmingham,RBAC,Fleet,normal,0.1318974667344239,True,True,139.25699621306816,155.54890039389664,194.2762593490654,82.61967731827686,False,valid
88,15,9,8,6.49,afternoon,London,RBAC,Admin,normal,0.14406916154689475,True,True,168.1256525753434,129.7540455539997,255.26645220895233,80.95284837142293,False,invalid
89,12,7,58,14.33,off_hours,London,ABAC,User,normal,0.32570097886696164,True,True,144.3973685298318,106.37530796683352,190.16650458327803,85.1397158568173,False,valid
90,15,6,97,1.72,afternoon,Manchester,MAC,User,normal,0.19376762143518478,True,True,147.8195260584213,136.2113843824334,198.73173730244488,88.50016574294465,False,valid
91,9,9,67,16.19,evening,Birmingham,ABAC,User,normal,0.36051763445253854,True,True,194.4416446407416,106.45985611916987,189.441054172637,70.97915321149029,False,valid
92,2,2,22,11.89,afternoon,London,DAC,Fleet,normal,0.38175287629306737,True,True,198.44476156365923,134.87698311117975,175.09469248570014,91.42075070327486,False,valid
93,20,4,94,13.8,evening,London,DAC,User,normal,0.3002096657679511,True,True,243.51782108859004,82.30262788907984,174.07147368070665,61.732916699129305,False,valid
94,15,9,48,14.34,afternoon,Manchester,RBAC,Admin,normal,0.30418783948549666,True,True,214.51222327667156,79.5503849819687,274.8464142589496,92.95282195962947,False,valid
95,18,8,38,12.16,evening,Manchester,RBAC,User,normal,0.20191654062541775,True,True,206.25395440057594,97.60863673881552,236.54387858300237,63.89175502862467,False,valid
96,13,1,78,13.32,afternoon,Birmingham,MAC,Admin,normal,0.19296158522592463,True,True,168.2441395861568,133.21991845602963,230.92217544334846,80.25431537893292,False,valid
97,16,9,66,15.42,afternoon,Manchester,RBAC,User,normal,0.1215800550696137,True,True,183.7669188403925,106.91567699188732,202.35509556162654,77.50861210259936,False,valid
